DATE,MCUMFN
1997-01-01,82.0867
1997-02-01,82.7280
1997-03-01,83.0637
1997-04-01,82.4543
1997-05-01,82.5312
1997-06-01,82.5096
1997-07-01,82.5656
1997-08-01,83.0344
1997-09-01,83.1867
1997-10-01,83.3135
1997-11-01,83.5570
1997-12-01,83.3991
1998-01-01,83.4572
1998-02-01,82.9245
1998-03-01,82.1257
1998-04-01,81.9036
1998-05-01,81.7389
1998-06-01,80.5179
1998-07-01,79.5906
1998-08-01,81.1246
1998-09-01,80.5902
1998-10-01,80.8294
1998-11-01,80.4844
1998-12-01,80.5515
1999-01-01,80.3600
1999-02-01,80.6884
1999-03-01,80.2623
1999-04-01,80.1944
1999-05-01,80.4795
1999-06-01,79.9381
1999-07-01,79.9535
1999-08-01,80.0135
1999-09-01,79.2918
1999-10-01,80.1461
1999-11-01,80.3233
1999-12-01,80.5476
2000-01-01,80.2554
2000-02-01,80.1583
2000-03-01,80.3523
2000-04-01,80.5293
2000-05-01,80.2484
2000-06-01,80.0196
2000-07-01,79.7470
2000-08-01,78.9088
2000-09-01,78.9550
2000-10-01,78.4000
2000-11-01,77.8651
2000-12-01,77.0974
2001-01-01,76.4391
2001-02-01,75.7127
2001-03-01,75.2911
2001-04-01,74.7354
2001-05-01,74.0090
2001-06-01,73.3060
2001-07-01,72.7002
2001-08-01,72.2414
2001-09-01,71.8043
2001-10-01,71.3531
2001-11-01,71.0076
2001-12-01,71.0462
2002-01-01,71.4529
2002-02-01,71.4009
2002-03-01,71.9138
2002-04-01,72.1137
2002-05-01,72.4896
2002-06-01,73.2008
2002-07-01,73.1034
2002-08-01,73.1415
2002-09-01,73.2073
2002-10-01,72.9601
2002-11-01,73.3419
2002-12-01,72.8359
2003-01-01,73.4700
2003-02-01,73.3626
2003-03-01,73.4294
2003-04-01,72.9038
2003-05-01,72.9517
2003-06-01,73.3020
2003-07-01,73.6041
2003-08-01,73.3116
2003-09-01,73.9904
2003-10-01,74.0723
2003-11-01,74.7737
2003-12-01,74.7682
2004-01-01,74.7460
2004-02-01,75.3258
2004-03-01,75.3247
2004-04-01,75.6045
2004-05-01,76.1683
2004-06-01,75.6155
2004-07-01,76.2769
2004-08-01,76.6156
2004-09-01,76.6465
2004-10-01,77.4010
2004-11-01,77.3166
2004-12-01,77.8522
2005-01-01,78.2432
2005-02-01,78.8501
2005-03-01,78.3175
2005-04-01,78.4859
2005-05-01,78.5415
2005-06-01,78.5562
2005-07-01,78.1204
2005-08-01,78.3872
2005-09-01,77.3265
2005-10-01,78.3227
2005-11-01,78.9123
2005-12-01,78.8423
2006-01-01,79.3486
2006-02-01,78.9894
2006-03-01,78.8294
2006-04-01,78.9985
2006-05-01,78.6999
2006-06-01,78.8358
2006-07-01,78.4689
2006-08-01,78.9452
2006-09-01,78.8441
2006-10-01,78.3033
2006-11-01,78.1977
2006-12-01,79.1942
2007-01-01,78.6717
2007-02-01,78.7400
2007-03-01,79.2170
2007-04-01,79.5038
2007-05-01,79.2523
2007-06-01,79.3274
2007-07-01,79.1569
2007-08-01,78.7759
2007-09-01,78.8550
2007-10-01,78.5804
2007-11-01,78.9055
2007-12-01,78.8499
2008-01-01,78.5841
2008-02-01,77.9330
2008-03-01,77.5419
2008-04-01,76.7673
2008-05-01,76.3961
2008-06-01,75.9236
2008-07-01,75.1638
2008-08-01,74.2630
2008-09-01,71.7009
2008-10-01,71.3649
2008-11-01,69.6475
2008-12-01,67.3488
2009-01-01,65.2468
2009-02-01,65.3432
2009-03-01,64.2860
