,date,MA1_9,MA2_9,MA3_9,MA1_12,MA2_12,MA3_12,MOM(1),MOM(2),MOM(3),MOM(6),MOM(9),MOM(12)
0,1986-01-02,1,1,1,1,1,1,0,0,0,0,0,0
1,1986-01-03,1,1,1,1,1,1,1,0,0,0,0,0
2,1986-01-06,1,1,1,1,1,1,1,1,0,0,0,0
3,1986-01-07,1,1,1,1,1,1,0,0,1,0,0,0
4,1986-01-08,1,1,1,1,1,1,1,0,0,0,0,0
5,1986-01-09,1,1,1,1,1,1,1,1,0,0,0,0
6,1986-01-10,1,1,1,1,1,1,0,0,0,1,0,0
7,1986-01-13,1,1,1,1,1,1,0,0,0,0,0,0
8,1986-01-14,1,1,1,1,1,1,0,0,0,0,0,0
9,1986-01-15,1,1,1,1,1,1,1,1,0,0,0,0
10,1986-01-16,1,1,1,1,1,1,0,0,0,0,0,0
11,1986-01-17,1,1,1,1,1,1,0,0,0,0,0,0
12,1986-01-20,1,1,1,1,1,1,0,0,0,0,0,0
13,1986-01-21,1,1,1,1,1,1,0,0,0,0,0,0
14,1986-01-22,1,1,1,1,1,1,0,0,0,0,0,0
15,1986-01-23,1,1,1,1,1,1,0,0,0,0,0,0
16,1986-01-24,1,1,1,1,1,1,0,0,0,0,0,0
17,1986-01-27,1,1,1,1,1,1,1,1,1,0,0,0
18,1986-01-28,1,1,1,1,1,1,0,1,0,0,0,0
19,1986-01-29,1,1,1,1,1,1,1,0,1,0,0,0
20,1986-01-30,1,1,1,1,1,1,0,1,0,0,0,0
21,1986-01-31,1,1,1,1,1,1,0,0,0,0,0,0
22,1986-02-03,1,1,1,1,1,1,0,0,0,0,0,0
23,1986-02-04,1,1,1,1,1,1,0,0,0,0,0,0
24,1986-02-05,1,1,1,1,1,1,1,0,0,0,0,0
25,1986-02-06,1,1,1,1,1,1,1,1,0,0,0,0
26,1986-02-07,1,1,1,1,1,1,1,1,1,0,0,0
27,1986-02-10,1,1,1,1,1,1,0,1,1,0,0,0
28,1986-02-11,1,1,1,1,1,1,0,0,0,0,0,0
29,1986-02-12,1,1,1,1,1,1,0,0,0,1,0,0
30,1986-02-13,1,1,1,1,1,1,1,1,0,1,0,0
31,1986-02-14,1,1,1,1,1,1,0,1,0,0,0,0
32,1986-02-18,1,1,1,1,1,1,0,0,0,0,0,0
33,1986-02-19,1,1,1,1,1,1,1,0,0,0,0,0
34,1986-02-20,1,1,1,1,1,1,0,0,0,0,0,0
35,1986-02-21,1,1,1,1,1,1,0,0,0,0,0,0
36,1986-02-24,1,1,1,1,1,1,1,1,0,0,0,0
37,1986-02-25,1,1,1,1,1,1,1,1,1,0,0,0
38,1986-02-26,1,1,1,1,1,1,0,0,1,0,0,0
39,1986-02-27,1,1,1,1,1,1,0,0,0,0,0,0
40,1986-02-28,1,1,1,1,1,1,0,0,0,0,0,0
41,1986-03-03,1,1,1,1,1,1,0,0,0,0,0,0
42,1986-03-04,1,1,1,1,1,1,1,0,0,0,0,0
43,1986-03-05,1,1,1,1,1,1,1,1,0,0,0,0
44,1986-03-06,1,1,1,1,1,1,1,1,1,0,0,0
45,1986-03-07,1,1,1,1,1,1,0,1,1,0,0,0
46,1986-03-10,0,1,1,1,1,1,1,0,1,0,0,0
47,1986-03-11,0,0,0,1,1,1,1,1,1,1,0,0
48,1986-03-12,0,0,0,0,0,0,1,1,1,1,1,0
49,1986-03-13,1,0,0,1,0,0,0,0,0,1,0,0
50,1986-03-14,1,1,0,1,1,0,0,0,0,0,1,0
51,1986-03-17,0,0,1,0,0,0,1,1,0,1,1,0
52,1986-03-18,0,0,0,0,0,0,1,1,1,1,1,1
53,1986-03-19,0,0,0,0,0,0,0,0,1,1,1,1
54,1986-03-20,1,1,0,1,1,0,0,0,0,0,1,1
55,1986-03-21,0,0,0,0,0,0,1,1,0,1,1,1
56,1986-03-24,1,1,1,1,1,1,0,0,0,0,0,0
57,1986-03-25,1,1,1,1,1,1,1,0,0,0,0,1
58,1986-03-26,1,1,1,1,1,1,0,0,0,0,0,0
59,1986-03-27,1,1,1,1,1,1,0,0,0,0,0,0
60,1986-03-31,1,1,1,1,1,1,0,0,0,0,0,0
61,1986-04-01,1,1,1,1,1,1,1,0,0,0,0,0
62,1986-04-02,1,1,1,1,1,1,1,1,1,0,0,0
63,1986-04-03,1,1,1,1,1,1,1,1,1,0,0,0
64,1986-04-04,0,0,0,0,0,1,1,1,1,1,0,0
65,1986-04-07,0,0,0,0,0,0,1,1,1,1,1,1
